# Ocean Invaders terrain: positive tile ID = anchor, -1 = covered cell
23,17,-1,2,-1,1,-1,2,-1,1,-1,23,23,23,23
23,-1,-1,0,0,0,0,0,0,0,0,21,16,-1,23
22,0,0,0,0,0,0,0,0,0,0,0,-1,-1,23
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,12,23
13,0,0,0,0,0,0,0,0,0,0,10,-1,23,23
23,8,-1,9,-1,7,-1,-1,-1,8,-1,-1,-1,23,23
